airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-06-09,Delhi,Cochin,03:50:00,11:30:00,460,1.0,No info,7408
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,13377
Vistara,2019-05-06,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No info,4668
Air India,2019-03-09,Delhi,Cochin,20:30:00,08:15:00,705,1.0,No info,8991
Multiple Carriers,2019-05-18,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No info,8283
Air India,2019-05-18,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No info,7690
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,22:20:00,755,1.0,No info,10276
Jet Airways,2019-05-12,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No info,9564
Indigo,2019-03-09,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No info,4777
Air Asia,2019-03-24,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,5620
Jet Airways,2019-06-12,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,6478
Jet Airways,2019-04-03,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No info,7229
Spicejet,2019-05-21,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Jet Airways,2019-06-24,Delhi,Cochin,18:20:00,04:25:00,605,2.0,No info,13775
Multiple Carriers,2019-03-06,Delhi,Cochin,08:55:00,15:30:00,395,1.0,No info,15147
Multiple Carriers,2019-03-06,Delhi,Cochin,09:55:00,19:15:00,560,1.0,In-flight meal not included,15342
Air India,2019-06-03,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No info,6961
Jet Airways,2019-06-09,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,10262
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Indigo,2019-03-15,Chennai,Kolkata,22:05:00,00:30:00,145,0.0,No info,6297
Indigo,2019-05-18,Kolkata,Banglore,17:35:00,22:15:00,280,1.0,No info,5699
Indigo,2019-06-01,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No info,6593
Air Asia,2019-05-24,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No info,5162
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,No info,14571
Air India,2019-05-15,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No info,10975
Jet Airways,2019-06-27,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,10262
Spicejet,2019-03-09,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No info,6300
Indigo,2019-03-03,Delhi,Cochin,08:35:00,16:10:00,455,1.0,No info,7663
Multiple Carriers,2019-06-24,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,13587
Air India,2019-06-06,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No info,8372
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,No info,13044
Air India,2019-06-03,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No info,8907
Multiple Carriers,2019-06-03,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No info,18275
Jet Airways,2019-05-27,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No info,16289
Spicejet,2019-05-24,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Multiple Carriers,2019-05-15,Delhi,Cochin,11:40:00,19:00:00,440,1.0,No info,10529
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,22:35:00,850,1.0,No info,13759
Indigo,2019-05-01,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,8542
Jet Airways,2019-06-03,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No info,8040
Vistara,2019-04-12,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No info,5403
Air India,2019-05-18,Kolkata,Banglore,08:20:00,07:55:00,1415,2.0,No info,10697
Indigo,2019-06-15,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No info,6069
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,No info,14781
Indigo,2019-05-18,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No info,4823
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,12898
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,In-flight meal not included,10844
Jet Airways,2019-04-03,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,5177
Air India,2019-03-21,Banglore,New Delhi,06:55:00,23:20:00,985,1.0,No info,6987
Vistara,2019-05-15,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,11982
Jet Airways,2019-06-06,Delhi,Cochin,14:35:00,04:25:00,830,2.0,In-flight meal not included,10919
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,22:35:00,850,1.0,In-flight meal not included,10031
Multiple Carriers,2019-06-06,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No info,7677
Air India,2019-06-12,Delhi,Cochin,14:25:00,19:15:00,1730,2.0,No info,13381
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Air India,2019-05-21,Delhi,Cochin,09:30:00,23:00:00,810,1.0,No info,8907
Air India,2019-05-27,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No info,8907
Spicejet,2019-06-24,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-18,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,12373
Indigo,2019-04-03,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No info,3419
Multiple Carriers,2019-06-01,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No info,16108
Air India,2019-05-01,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No info,14424
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No info,14151
Spicejet,2019-03-09,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No info,6205
Air India,2019-06-12,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No info,9416
Air Asia,2019-05-03,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,4483
Indigo,2019-04-15,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No info,4591
Air India,2019-03-12,Banglore,New Delhi,17:25:00,10:15:00,1010,2.0,No info,12778
Air India,2019-06-06,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No info,13381
Air India,2019-05-24,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No info,15107
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,09:20:00,1010,1.0,In-flight meal not included,9663
Jet Airways,2019-05-03,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No info,7229
Indigo,2019-06-24,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,3597
Spicejet,2019-03-27,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No check-in baggage included,3332
Indigo,2019-06-03,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No info,4823
Indigo,2019-04-01,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,4488
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,10262
Indigo,2019-04-21,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No info,6968
Air India,2019-05-03,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No info,4145
Jet Airways,2019-06-09,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,No info,14924
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No info,13067
Indigo,2019-05-06,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No info,5224
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,13:20:00,375,1.0,No info,14486
Air India,2019-05-06,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No info,10991
Air India,2019-03-06,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,5462
Indigo,2019-06-01,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,3597
Air India,2019-05-15,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No info,8907
Spicejet,2019-05-09,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No info,2017
Spicejet,2019-06-03,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No info,2017
Air India,2019-03-27,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No info,4729
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,No info,14571
Indigo,2019-04-06,Kolkata,Banglore,15:15:00,20:30:00,315,1.0,No info,4268
Air India,2019-05-15,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No info,13307
Air Asia,2019-04-24,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4409
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No info,13067
Jet Airways,2019-03-18,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,No info,5678
Indigo,2019-06-18,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No info,3943
Jet Airways,2019-06-12,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,No info,14714
Jet Airways,2019-06-18,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No info,8016
Vistara,2019-06-18,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No info,3687
Indigo,2019-03-06,Delhi,Cochin,08:35:00,22:20:00,825,1.0,No info,7514
Multiple Carriers,2019-06-24,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No info,13377
Spicejet,2019-06-24,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No info,5583
Air India,2019-04-03,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No info,4227
Multiple Carriers,2019-03-21,Delhi,Cochin,13:00:00,01:35:00,755,1.0,No info,13542
Indigo,2019-05-21,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,3625
Spicejet,2019-03-27,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No check-in baggage included,3815
Air India,2019-06-15,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,3100
Air India,2019-03-21,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No info,5704
Jet Airways,2019-06-27,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No info,8016
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,12373
Indigo,2019-06-01,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No info,4804
Vistara,2019-03-03,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No info,8001
Air Asia,2019-04-15,Kolkata,Banglore,07:35:00,23:30:00,955,1.0,No info,5192
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,10:45:00,950,1.0,In-flight meal not included,11087
Jet Airways,2019-04-18,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No info,7229
Indigo,2019-06-12,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No info,3943
Goair,2019-06-06,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No info,3898
Air Asia,2019-03-15,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,3782
Multiple Carriers,2019-06-06,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No info,13377
Multiple Carriers,2019-06-01,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No info,18275
Air India,2019-06-12,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No info,13532
Jet Airways,2019-06-15,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,10262
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No info,16274
Air Asia,2019-03-24,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No info,4284
Vistara,2019-06-18,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No info,4878
Indigo,2019-05-09,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No info,8177
Indigo,2019-06-01,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,3419
Indigo,2019-04-27,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No info,6171
Air India,2019-05-12,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No info,10676
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,9663
Air India,2019-03-18,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No info,2050
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,10:05:00,1055,1.0,In-flight meal not included,8586
Multiple Carriers,2019-05-18,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,8073
Air India,2019-04-01,Kolkata,Banglore,16:45:00,20:25:00,1660,2.0,No info,9920
Air India,2019-06-09,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No info,10441
Jet Airways,2019-03-09,Banglore,New Delhi,07:00:00,09:30:00,1590,1.0,In-flight meal not included,11087
Spicejet,2019-04-12,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Indigo,2019-03-27,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No info,3384
Indigo,2019-03-03,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No info,9257
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,19:10:00,1570,1.0,No info,13067
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,18:50:00,995,1.0,In-flight meal not included,7438
Indigo,2019-06-03,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No info,6069
Air India,2019-05-09,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No info,7174
Indigo,2019-03-21,Delhi,Cochin,08:35:00,22:20:00,825,1.0,No info,6790
Multiple Carriers,2019-03-21,Delhi,Cochin,10:00:00,21:00:00,660,1.0,In-flight meal not included,8085
Jet Airways,2019-05-21,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,No info,16079
Indigo,2019-06-15,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No info,3597
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,22:35:00,850,1.0,No info,14781
Multiple Carriers,2019-06-01,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No info,13377
Jet Airways,2019-04-01,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,5177
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,20:45:00,1695,1.0,In-flight meal not included,8529
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No info,14151
Air India,2019-03-27,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No info,5998
Jet Airways,2019-03-01,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No info,18308
Multiple Carriers,2019-06-27,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No info,12192
Indigo,2019-04-27,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No info,4823
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No info,14781
Air India,2019-05-18,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No info,12409
Air India,2019-06-12,Delhi,Cochin,18:30:00,19:15:00,1485,2.0,No info,12488
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,10844
Spicejet,2019-06-01,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No info,7317
Indigo,2019-06-12,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No info,4049
Air India,2019-05-06,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No info,10151
Air India,2019-05-03,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No info,6121
Spicejet,2019-05-24,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3573
Multiple Carriers,2019-03-06,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No info,15077
Jet Airways,2019-06-01,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Air India,2019-06-06,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,7952
Air India,2019-06-12,Kolkata,Banglore,10:00:00,16:15:00,375,1.0,No info,11936
Indigo,2019-04-03,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No info,4823
Indigo,2019-05-18,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,3943
Vistara,2019-05-15,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No info,4878
Indigo,2019-05-15,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,3419
Indigo,2019-04-24,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4804
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No info,8610
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,13377
Indigo,2019-03-09,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No info,12351
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,18:10:00,1515,1.0,No info,14231
Indigo,2019-06-15,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No info,6093
Multiple Carriers,2019-05-27,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No info,10051
Multiple Carriers ,2019-03-21,Delhi,Cochin,06:00:00,13:20:00,440,1.0,No info,11269
Multiple Carriers,2019-05-21,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No info,14067
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No info,11467
Indigo,2019-04-01,Kolkata,Banglore,17:35:00,22:15:00,280,1.0,No info,5699
Jet Airways,2019-06-01,Delhi,Cochin,18:25:00,12:35:00,1090,2.0,No info,14237
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,16079
Air India,2019-03-21,Banglore,New Delhi,08:50:00,23:15:00,865,1.0,No info,6824
Indigo,2019-05-06,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No info,2754
Multiple Carriers,2019-05-21,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No info,7485
Multiple Carriers,2019-03-06,Delhi,Cochin,04:00:00,15:30:00,690,1.0,No info,13135
Air India,2019-03-21,Banglore,New Delhi,08:15:00,11:20:00,1625,2.0,No info,7642
Multiple Carriers,2019-06-03,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No info,10877
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,In-flight meal not included,9314
Jet Airways,2019-05-27,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,No info,15129
Air India,2019-04-03,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No info,2575
Jet Airways,2019-06-12,Delhi,Cochin,09:25:00,12:35:00,1630,2.0,No info,13882
Multiple Carriers,2019-03-03,Delhi,Cochin,15:05:00,01:35:00,630,2.0,No info,34503
Jet Airways,2019-05-06,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Multiple Carriers,2019-06-24,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,12927
Indigo,2019-06-12,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No info,5883
Spicejet,2019-06-03,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No info,5583
Air India,2019-03-06,Mumbai,Hyderabad,12:00:00,12:25:00,1465,1.0,No info,14408
Air India,2019-03-12,Mumbai,Hyderabad,19:40:00,09:10:00,810,2.0,No info,11647
Air India,2019-03-12,Banglore,New Delhi,17:25:00,16:20:00,1375,2.0,No info,12778
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No info,14151
Multiple Carriers ,2019-03-21,Delhi,Cochin,08:55:00,15:30:00,395,1.0,No info,11269
Indigo,2019-05-15,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No info,6442
Indigo,2019-05-15,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,3419
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,05:05:00,375,1.0,No info,19225
Multiple Carriers,2019-06-24,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No info,10877
Jet Airways,2019-06-03,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,16079
Jet Airways,2019-04-15,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,4544
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,In-flight meal not included,13994
Indigo,2019-06-06,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No info,5069
Air India,2019-06-06,Delhi,Cochin,13:20:00,19:15:00,1795,2.0,No info,12961
Jet Airways,2019-05-21,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No info,14781
Goair,2019-05-12,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No info,8855
Jet Airways,2019-06-18,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No info,5678
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,In-flight meal not included,8066
Air India,2019-05-15,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No info,14960
Air India,2019-05-27,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No info,6094
Multiple Carriers,2019-03-27,Delhi,Cochin,09:10:00,19:15:00,605,1.0,No info,10667
Multiple Carriers,2019-06-24,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No info,10877
Multiple Carriers,2019-03-21,Delhi,Cochin,07:10:00,21:20:00,850,2.0,In-flight meal not included,5935
Jet Airways,2019-03-18,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,In-flight meal not included,2228
Air India,2019-06-12,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No info,9443
Jet Airways,2019-06-09,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,10262
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,18:50:00,350,1.0,No info,17024
Multiple Carriers,2019-06-01,Delhi,Cochin,03:50:00,12:35:00,525,1.0,No info,12192
Multiple Carriers,2019-06-12,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No info,7198
Air India,2019-05-15,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No info,7480
Spicejet,2019-04-18,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No info,4174
Spicejet,2019-05-06,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No info,8479
Indigo,2019-04-15,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No info,4423
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No info,13941
Air India,2019-06-09,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No info,11185
Air India,2019-03-03,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No info,12841
Jet Airways,2019-03-27,Delhi,Cochin,19:45:00,19:45:00,1440,1.0,In-flight meal not included,5963
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No info,12692
Vistara,2019-05-18,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No info,6741
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,9899
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,10844
Air India,2019-05-09,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No info,6094
Air India,2019-05-09,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No info,11542
Indigo,2019-05-27,Delhi,Cochin,08:35:00,16:10:00,455,1.0,No info,6442
Indigo,2019-05-21,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No info,4049
Air India,2019-03-21,Banglore,New Delhi,11:50:00,23:55:00,725,1.0,No info,5092
Spicejet,2019-03-06,Mumbai,Hyderabad,14:10:00,22:25:00,495,1.0,No info,13552
Air India,2019-03-01,Banglore,New Delhi,10:30:00,21:25:00,655,2.0,No info,11213
Indigo,2019-05-01,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No info,3850
Multiple Carriers,2019-05-18,Delhi,Cochin,10:00:00,21:00:00,660,1.0,In-flight meal not included,9275
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,12:35:00,825,1.0,No info,14714
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,09:30:00,775,1.0,In-flight meal not included,11087
Air India,2019-05-21,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No info,9968
Vistara,2019-03-03,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No info,7608
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No info,12739
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,In-flight meal not included,10539
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,No info,14388
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No info,9555
Air India,2019-03-06,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No info,4435
Indigo,2019-05-01,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No info,8854
Indigo,2019-06-09,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No info,6316
Indigo,2019-06-06,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No info,4049
Jet Airways,2019-06-27,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,10262
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,04:45:00,590,1.0,No info,14231
Indigo,2019-05-12,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No info,4205
Jet Airways,2019-06-01,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,10262
Jet Airways,2019-06-01,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Spicejet,2019-03-24,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No check-in baggage included,3873
Jet Airways ,2019-03-01,Banglore,New Delhi,05:45:00,10:45:00,300,1.0,No info,52229
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,13587
Air India,2019-03-12,Banglore,New Delhi,06:45:00,18:05:00,2120,3.0,No info,13387
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No info,12717
Spicejet,2019-04-15,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No info,5899
Air India,2019-05-15,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No info,13022
Vistara,2019-05-06,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No info,4878
Indigo,2019-06-03,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No info,6838
Air India,2019-03-06,Banglore,New Delhi,12:00:00,23:25:00,685,3.0,No info,14195
Air India,2019-03-24,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No info,2575
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,23:25:00,1660,1.0,No info,13759
Multiple Carriers,2019-03-21,Delhi,Cochin,10:20:00,01:35:00,915,1.0,No info,7695
Vistara,2019-06-01,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,11982
Jet Airways,2019-04-01,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,5406
Indigo,2019-05-27,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No info,7514
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,10703
